NP	Time	Ran
1	0.009879	1
1	0.009983	2
1	0.010022	3
1	0.010025	4
1	0.010390	5
1	0.010048	6
1	0.010000	7
1	0.010020	8
1	0.009966	9
1	0.009918	10
2	0.005227	1
2	0.005071	2
2	0.005145	3
2	0.005146	4
2	0.005088	5
2	0.005125	6
2	0.005110	7
2	0.005149	8
2	0.005111	9
2	0.005117	10
3	0.003678	1
3	0.003487	2
3	0.003482	3
3	0.003457	4
3	0.003580	5
3	0.003483	6
3	0.003698	7
3	0.003494	8
3	0.003479	9
3	0.003478	10
4	0.002892	1
4	0.002685	2
4	0.002662	3
4	0.002762	4
4	0.002649	5
4	0.002667	6
4	0.002660	7
4	0.002674	8
4	0.002963	9
4	0.002671	10
5	0.002339	1
5	0.002172	2
5	0.002233	3
5	0.002173	4
5	0.002168	5
5	0.002174	6
5	0.002312	7
5	0.002163	8
5	0.002184	9
5	0.002200	10
6	0.002032	1
6	0.002049	2
6	0.001847	3
6	0.001873	4
6	0.001851	5
6	0.001860	6
6	0.001842	7
6	0.002035	8
6	0.002958	9
6	0.003012	10
7	0.001638	1
7	0.001644	2
7	0.001760	3
7	0.001621	4
7	0.002026	5
7	0.001714	6
7	0.001741	7
7	0.002588	8
7	0.002562	9
7	0.001861	10
8	0.002161	1
8	0.001521	2
8	0.001721	3
8	0.001492	4
8	0.001884	5
8	0.001451	6
8	0.001488	7
8	0.001608	8
8	0.001814	9
8	0.001521	10
9	0.001508	1
9	0.001801	2
9	0.001359	3
9	0.001426	4
9	0.001449	5
9	0.001710	6
9	0.001345	7
9	0.001420	8
9	0.003375	9
9	0.001515	10
10	0.001336	1
10	0.001311	2
10	0.001386	3
10	0.001276	4
10	0.001475	5
10	0.002504	6
10	0.001414	7
10	0.001330	8
10	0.002109	9
10	0.002389	10
11	0.001364	1
11	0.001470	2
11	0.001512	3
11	0.001498	4
11	0.001503	5
11	0.001353	6
11	0.001493	7
11	0.001451	8
11	0.001256	9
11	0.001327	10
12	0.001731	1
12	0.001166	2
12	0.001331	3
12	0.001196	4
12	0.001413	5
12	0.001322	6
12	0.001312	7
12	0.001097	8
12	0.001230	9
12	0.001155	10
13	0.001666	1
13	0.001174	2
13	0.001130	3
13	0.001179	4
13	0.001092	5
13	0.001115	6
13	0.001194	7
13	0.001193	8
13	0.001103	9
13	0.001586	10
14	0.001240	1
14	0.001087	2
14	0.001020	3
14	0.001839	4
14	0.001032	5
14	0.000978	6
14	0.001905	7
14	0.001046	8
14	0.001457	9
14	0.001419	10
15	0.001175	1
15	0.001007	2
15	0.001553	3
15	0.001066	4
15	0.001128	5
15	0.001032	6
15	0.001047	7
15	0.001061	8
15	0.001115	9
15	0.001454	10
16	0.001234	1
16	0.001023	2
16	0.001026	3
16	0.001449	4
16	0.001117	5
16	0.000988	6
16	0.001437	7
16	0.001237	8
16	0.001317	9
16	0.001102	10
17	0.001574	1
17	0.001704	2
17	0.001149	3
17	0.001167	4
17	0.001390	5
17	0.001287	6
17	0.001332	7
17	0.001208	8
17	0.001527	9
17	0.001212	10
18	0.001176	1
18	0.001312	2
18	0.001180	3
18	0.001168	4
18	0.001144	5
18	0.001145	6
18	0.001149	7
18	0.001147	8
18	0.001145	9
18	0.001277	10
19	0.001100	1
19	0.001116	2
19	0.001304	3
19	0.001436	4
19	0.001087	5
19	0.001327	6
19	0.001427	7
19	0.001118	8
19	0.001102	9
19	0.001079	10
20	0.001070	1
20	0.001032	2
20	0.001281	3
20	0.001101	4
20	0.001076	5
20	0.001305	6
20	0.001216	7
20	0.001073	8
20	0.001067	9
20	0.001072	10
21	0.001214	1
21	0.001040	2
